Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,std_20,Bollinger_Band_Upper,Bollinger_Band_Lower,%K,%D,TR,ATR,Daily returns,Weekly returns,Label
2013-05-24,295.20001220703125,298.125,291.75,293.48748779296875,227.09190368652344,3688648,291.5128143310547,297.070483133548,51.505715360761876,-5.1288182687254675,-7.737096217274731,6.5015819956826055,304.5159783224199,278.5096503396895,28.935200287056368,45.67859154049612,6.375,5.0053558349609375,-0.0050639637341238775,-0.001637120296056116,1
2013-05-27,292.6499938964844,298.25,291.2875061035156,296.5874938964844,229.4906005859375,3325168,292.5171890258789,297.02448415858953,54.91970192518378,-4.620106781148877,-7.11369833004956,5.540915792092312,303.5990206100635,281.4353574416943,49.64505317066806,39.16491333942239,6.962493896484375,5.232587541852679,0.010562651671550682,0.0002739834026987964,1
2013-05-28,296.25,297.5,294.20623779296875,295.7749938964844,228.8618927001953,4234952,293.37281341552733,296.9054850860081,53.14078888324548,-4.233707675142739,-6.537700199068196,4.5151930672633105,302.40319955005396,284.3424272810007,44.217078222860124,40.932443893528166,3.29376220703125,5.093303135463169,-0.002739495146358295,-0.013096490325917975,1
2013-05-29,296.25,298.875,291.625,294.04998779296875,227.5271453857422,5166528,294.10375061035154,296.6335329628615,48.20431035658545,-4.020333276413851,-6.034226814537327,3.101427694043287,300.3066059984381,287.900895222265,32.69302909707724,42.185053496868456,7.25,5.442411150251116,-0.005832156670145472,-0.013792875450004072,1
2013-05-30,291.6875,293.58123779296875,289.5625,292.6812438964844,229.0975799560547,6338632,294.44593811035156,296.2571244803494,44.01350251618379,-3.916531385660221,-5.6106877287619055,2.4506594244096824,299.3472569591709,289.5446192615322,23.549019767745303,33.4863756958942,4.48748779296875,5.5138397216796875,-0.004654800045249652,-0.007797167499177027,1
2013-05-31,292.75,304.36248779296875,292.75,301.4624938964844,235.9710693359375,18498304,295.09437561035156,296.7528739485527,62.44388430580872,-3.090073706173314,-5.1065649242441875,2.5079129086144523,300.1102014275805,290.07854979312265,80.92891919771694,45.72365602084648,11.681243896484375,5.979910714285714,0.030002776683242915,0.027173240547621935,1
2013-06-03,315.625,328.125,309.39373779296875,314.26251220703125,245.99037170410156,33215248,296.1756256103516,298.42045854459826,71.49220304764658,-1.386265531304673,-4.362505045656285,4.907042026479577,305.98970966331075,286.3615415573924,64.42665522253408,56.30153139599876,26.662506103515625,7.585268293108259,0.0424597373461062,0.059594617690508,0
2013-06-04,311.25,314.9312438964844,307.95001220703125,311.98748779296875,244.20962524414062,11714560,297.0949996948242,299.7125565682526,67.38988295430823,-0.21705861785642355,-3.5334157600963123,5.999905101166987,309.09480989715814,285.09518949249025,58.588581345228555,67.98138525515984,6.981231689453125,7.858034406389509,-0.007239248480785276,0.05481360571731919,0
2013-06-05,310.0,311.2749938964844,306.875,307.65625,240.81927490234375,5078784,297.78625030517577,300.4690987998476,66.23340615954486,0.3559484404529485,-2.75554291998646,6.387939628984757,310.5621295631453,285.01037104720626,46.92058346839546,56.645273345386016,5.11248779296875,7.801783970424107,-0.013882729155609286,0.046271935969645295,0
2013-06-06,306.25,306.83123779296875,301.98748779296875,303.70623779296875,237.72743225097656,7509232,298.21281280517576,300.7773977515734,59.53018987621547,0.4857285130352125,-2.1072886333821255,6.488443694622182,311.18970019442014,285.2359254159314,36.67743998176661,47.39553493179685,5.66876220703125,7.881696428571429,-0.012839044248349363,0.03766894574352597,0
2013-06-07,303.125,309.11248779296875,302.5,305.8500061035156,239.40542602539062,6618168,298.6831253051758,301.2605033089012,59.21586191618266,0.7528855460930686,-1.5352537974870868,6.6912016578597475,312.0655286208953,285.3007219894563,42.236644676863854,41.94488937567529,6.61248779296875,8.005802699497767,0.0070586904178380205,0.014554089798440417,0
2013-06-10,307.5,312.25,307.1499938964844,310.84375,243.31436157226562,4289040,299.6028121948242,302.1731934699583,60.61432994713154,1.351978056087546,-0.9578074267721604,7.044161552105384,313.69113529903495,285.51448909061344,55.186385737439224,44.700156798689875,6.399993896484375,8.015622820172991,0.016327427813731088,-0.010878682866186207,0
2013-06-11,311.25,314.3125,308.23126220703125,309.4375,242.21363830566406,5957704,300.3868743896484,302.8650321871051,60.7662705288501,1.6937658852161803,-0.4274927643744922,7.229427519958878,314.8457294295662,285.9280193497307,51.53970826580226,49.65424622670176,6.08123779296875,7.961157662527902,-0.00452397707851615,-0.008173365576317204,0
2013-06-12,307.78125,313.29998779296875,301.60626220703125,302.66876220703125,236.91531372070312,5927288,300.76750030517576,302.84633980805046,56.86996419711875,1.4022899059181668,-0.061536230315960394,7.133765861124212,315.03503202742417,286.49996858292735,33.98706569084279,46.90438656469474,11.6937255859375,8.233030046735491,-0.021874329365279777,-0.016211235081259545,1
2013-06-13,303.0,303.125,296.875,297.48748779296875,232.8596649169922,4154328,301.06312408447263,302.3359729494713,53.35359051562683,0.7446239870453155,0.0996958131562948,6.849627220488463,314.76237852544955,287.3638696434957,20.551021829416534,35.35926526202051,6.25,8.22410147530692,-0.01711862954168497,-0.02047620109877102,0
2013-06-14,298.9624938964844,301.125,297.14373779296875,299.3687438964844,234.33221435546875,5584064,301.3331237792969,302.0533797063297,52.380439938399434,0.3709446345102947,0.1539455774270948,6.659039175201033,314.65120212969896,288.01504542889484,25.429481741288495,26.65585642051592,3.98126220703125,8.011156354631696,0.006323815893812812,-0.021190982761784438,1
2013-06-17,301.4312438964844,303.25,299.35626220703125,302.82501220703125,237.0376739501953,2720504,301.64906158447263,302.1268685159203,55.77278013532917,0.3496623331146793,0.1930889285646117,6.567239256486855,314.78354009744635,288.5145830714989,34.39225207658023,26.790918549095068,3.89373779296875,8.054011753627233,0.011545187602290286,-0.025796683359304295,0
2013-06-18,303.75,307.5,303.0874938964844,305.8187561035156,239.38099670410156,4284904,301.9549987792969,302.4784768575961,59.440491991815804,0.567820586349228,0.268035260121535,6.614018625337005,315.1830360299709,288.7269615286229,42.155607399716374,33.99244707252834,4.67498779296875,7.870082310267857,0.00988605226056305,-0.011694587425520098,0
2013-06-19,305.75,306.0874938964844,300.9125061035156,304.79376220703125,238.57870483398438,5836832,302.2865615844727,302.6989802242089,59.77011720605807,0.6505055099746642,0.3445293100921608,6.580019614340697,315.4466008131541,289.1265223557913,34.045970903268554,36.8646101265217,5.17498779296875,7.919189453125,-0.003351638432985582,0.007020876500451134,0
